"x","y","z"
-4,-4,-0.0475195314372363
-3.9,-4,0.218488432129792
-3.8,-4,0.262697289106375
-3.7,-4,0.236751188211181
-3.6,-4,-0.186378062677037
-3.5,-4,-0.206799654092928
-3.4,-4,-0.210461532631877
-3.3,-4,0.624224671370306
-3.2,-4,0.257061687251574
-3.1,-4,-0.192044458061927
-3,-4,-0.0863000909304896
-2.9,-4,0.159586922622077
-2.8,-4,0.168196352372874
-2.7,-4,-0.53501560952753
-2.6,-4,0.246038002122583
-2.5,-4,-0.284623519897459
-2.4,-4,-0.240907304102767
-2.3,-4,-0.0010379291472585
-2.2,-4,0.0562809045407288
-2.1,-4,0.146749123205457
-2,-4,-0.00981398584171991
-1.9,-4,0.01026276488128
-1.8,-4,-0.0506365605109101
-1.7,-4,-0.947564600080678
-1.6,-4,-0.610591469556821
-1.5,-4,-0.456045353840788
-1.4,-4,0.719141139781824
-1.3,-4,-0.126028506155569
-1.2,-4,0.560714986263008
-1.1,-4,0.255543599300914
-1,-4,-0.200200080974252
-0.9,-4,-0.20214781647789
-0.8,-4,-0.0275789819288782
-0.7,-4,0.375069324748742
-0.6,-4,-0.781920816840915
-0.5,-4,-0.0109298433172409
-0.4,-4,0.142139257969606
-0.3,-4,0.143317650520534
-0.2,-4,0.253340974440038
-0.0999999999999996,-4,0.182869138352691
0,-4,-0.103263801509318
0.100000000000001,-4,-0.31284155384764
0.2,-4,0.256424047903464
0.3,-4,0.188236573832637
0.4,-4,0.273097221080369
0.5,-4,-0.0152067959359205
0.600000000000001,-4,0.196696457869835
0.7,-4,0.44954989107927
0.800000000000001,-4,-0.606782621301727
0.9,-4,0.106878229269711
1,-4,-0.0526447270703947
1.1,-4,0.0311721704615583
1.2,-4,0.55782848323399
1.3,-4,-0.438020090516983
1.4,-4,0.32839690455945
1.5,-4,0.439539318004561
1.6,-4,-0.518483550401261
1.7,-4,-0.190427330637949
1.8,-4,0.259861847476776
1.9,-4,0.161901011847147
2,-4,0.109894277195629
2.1,-4,-0.287712385702337
2.2,-4,0.146347812104189
2.3,-4,0.674281250028829
2.4,-4,0.0462144792549263
2.5,-4,0.166352289237687
2.6,-4,0.380941338878888
2.7,-4,0.152513979851314
2.8,-4,-0.173300348773143
2.9,-4,-0.29732806940211
3,-4,-0.515462930166186
3.1,-4,-0.369646623136278
3.2,-4,-0.3913402044626
3.3,-4,-0.462657400193273
3.4,-4,0.210506797141491
3.5,-4,0.451211577571839
3.6,-4,-0.0456811724741456
3.7,-4,-0.261040164288201
3.8,-4,0.256812752579768
3.9,-4,0.587954995998328
